Date,season,interest_rate,permit_count_total,permit_count_house,permit_hh,population,household,hp,Sentiment
1996-01-01,21,5.963333333333333,96,64,987,2628692.6666666665,839058,106.85,0.014105439507207803
1996-04-01,22,5.4910000000000005,109,63,1535,2619371,840993,112.28,0.01688147863628601
1996-07-01,23,5.198333333333333,83,58,1790,2616953.6666666665,845616.3333333334,115.85,0.019635545476790976
1996-10-01,24,5.043333333333333,109,68,1802,2606898,847154.6666666666,113.94,0.021372484197539524
1997-01-01,25,6.167,122,79,1774,2600126.6666666665,847718.6666666666,113.97,0.023801904342012275
1997-04-01,26,6.477666666666667,147,90,2614,2591500.6666666665,850063.3333333334,118.07,0.0231237733894822
1997-07-01,27,7.591333333333333,137,83,2388,2595292,854401.3333333334,115.54,0.026147118185331233
1997-10-01,28,7.199333333333334,152,95,1788,2597627,854029.6666666666,112.58,0.01914595907472776
1998-01-01,29,7.155,134,92,1379,2602307,856239.6666666666,116.4,0.026895950373937366
1998-04-01,30,6.838,192,115,2156,2614414.6666666665,861690.6666666666,112.32,0.02454432732474712
1998-07-01,31,6.647333333333333,161,116,2656,2630967.6666666665,867548.3333333334,110.26,0.01813760230413948
1998-10-01,32,5.4719999999999995,157,111,2382,2638009.3333333335,869538.3333333334,108.67,0.006176559042006023
1999-01-01,33,4.775,128,88,1498,2640284,870616.3333333334,107.85,0.0044082773302603255
1999-04-01,34,4.718666666666667,128,80,1569,2640187,873095.6666666666,107.3,0.018246512749263828
1999-07-01,35,4.837666666666666,130,96,2305,2639245.3333333335,876168,111.21,0.017803514722594324
1999-10-01,36,4.790666666666667,131,100,3291,2639795,878548,104.21,0.00942591871450804
2000-01-01,37,4.6226666666666665,112,81,2289,2645264.6666666665,880442,106.18,0.019162653069101677
2000-04-01,38,4.737666666666667,100,55,1092,2646942.3333333335,883657.3333333334,105.48,0.018185850694955374
2000-07-01,39,4.779333333333334,76,44,755,2646371.6666666665,887294,106.62,0.013811686413432452
2000-10-01,40,4.739,131,82,1887,2645969.6666666665,888732.6666666666,99.42,-0.004823896445430684
2001-01-01,41,4.510666666666667,102,53,1119,2645853,889723.3333333334,100,0.009559328788509423
2001-04-01,42,4.053,82,40,981,2642144.6666666665,891853.6666666666,96.56,0.005313946325463129
2001-07-01,43,3.457333333333333,85,44,874,2637038.6666666665,893699.6666666666,93.48,0.016220561100050598
2001-10-01,44,2.5343333333333335,84,39,1319,2634281.6666666665,894471.6666666666,94.45,0.014889983051251813
2002-01-01,45,2.283,81,39,395,2632438,895680.3333333334,94.22,0.02097189160297261
2002-04-01,46,2.183666666666667,91,31,664,2634439,899002.6666666666,98.82,0.019349586464141155
2002-07-01,47,1.948,123,56,1374,2637660,903402.3333333334,97.59,0.016482569124161375
2002-10-01,48,1.7803333333333333,93,45,1404,2640912,906371.6666666666,97.47,0.01649757993305703
2003-01-01,49,1.2543333333333333,83,33,723,2639169,907562,99.63,0.020634394353596246
2003-04-01,50,1.175,90,54,1024,2633993.3333333335,909494.3333333334,96.26,0.015275227551718545
2003-07-01,51,1.024,89,50,1472,2628118,912133.3333333334,103.84,0.02647740650368541
2003-10-01,52,1.0236666666666667,115,58,1895,2626837.6666666665,914135,105.62,0.028714124267951103
2004-01-01,53,0.9943333333333333,109,60,2340,2627418,915241.6666666666,110.32,0.029008077111019208
2004-04-01,54,0.9856666666666667,105,69,2321,2625617.3333333335,917606.3333333334,116.11,0.02855779812721036
2004-07-01,55,1.052,134,87,2438,2623546,921171.3333333334,117.96,0.02516621089950022
2004-10-01,56,1.144,167,101,3132,2622287.6666666665,923040.6666666666,121.61,0.02485543810261158
2005-01-01,57,1.2086666666666668,145,93,2466,2620801.6666666665,923702.6666666666,122.14,0.029384389449315207
2005-04-01,58,1.266,130,75,2694,2617928.6666666665,925039.3333333334,126.58,0.02742781858018251
2005-07-01,59,1.3376666666666668,179,125,4556,2617648,930614.3333333334,129.17,0.02564857081804229
2005-10-01,60,1.3936666666666666,219,151,4933,2616093,933086.6666666666,133.4,0.02831223431840939
2006-01-01,61,1.4483333333333333,133,91,3487,2617058.6666666665,933077.3333333334,134.34,0.028277674359814778
2006-04-01,62,1.522,150,92,3650,2621286.6666666665,935199.3333333334,144.77,0.03131965664859522
2006-07-01,63,1.5893333333333333,155,81,2921,2625829.6666666665,939927,150.95,0.026702530315007546
2006-10-01,64,1.6606666666666667,140,83,2072,2630183.6666666665,942068,153.18,0.03167096624260395
2007-01-01,65,1.6943333333333335,126,68,1651,2628750.3333333335,940269.3333333334,162.39,0.0290078251106403
2007-04-01,66,2.1176666666666666,180,123,3906,2627456,941096.6666666666,166.45,0.030514857926081922
